prefix_hex,prefix_u32_le,accx,accy,accz,gyrx,gyry,gyrz
FF-0F-01-00,69631,-1202,-1220,16632,-26,-3,-10
FF-0F-02-00,135167,-1178,-1210,16676,-26,-3,-10
FF-0F-03-00,200703,-1160,-1250,16690,-25,-3,-10
FF-0F-04-00,266239,-1184,-1210,16724,-25,-3,-10
FF-0F-05-00,331775,-1194,-1232,16624,-23,-3,-9
FF-0F-06-00,397311,-1240,-1204,16656,-23,-3,-9
FF-0F-07-00,462847,-1142,-1226,16680,-25,-3,-10
FF-0F-08-00,528383,-1162,-1202,16666,-25,-3,-10
FF-0F-09-00,593919,-1172,-1216,16670,-26,-3,-12
FF-0F-0A-00,659455,-1192,-1184,16700,-26,-3,-12
FF-0F-0B-00,724991,-1202,-1204,16674,-26,-3,-12
FF-0F-0C-00,790527,-1174,-1220,16646,-23,-2,-11
FF-0F-0D-00,856063,-1140,-1228,16682,-23,-2,-11
FF-0F-0E-00,921599,-1202,-1244,16664,-25,-3,-11
FF-0F-0F-00,987135,-1182,-1184,16604,-25,-3,-11
FF-0F-10-00,1052671,-1238,-1210,16678,-23,-3,-9
FF-0F-11-00,1118207,-1208,-1210,16634,-23,-3,-9
FF-0F-12-00,1183743,-1154,-1216,16706,-25,-3,-11
FF-0F-13-00,1249279,-1218,-1186,16684,-25,-3,-11
FF-0F-14-00,1314815,-1168,-1228,16662,-26,-3,-11
FF-0F-15-00,1380351,-1154,-1226,16670,-26,-3,-11
FF-0F-16-00,1445887,-1178,-1246,16706,-23,-2,-10
FF-0F-17-00,1511423,-1258,-1204,16638,-23,-2,-10
FF-0F-18-00,1576959,-1202,-1202,16604,-24,-2,-11
FF-0F-19-00,1642495,-1216,-1222,16680,-24,-2,-11
FF-0F-1A-00,1708031,-1192,-1198,16656,-25,-3,-9
FF-0F-1B-00,1773567,-1200,-1216,16698,-25,-3,-9
FF-0F-1C-00,1839103,-1176,-1226,16644,-25,-3,-11
FF-0F-1D-00,1904639,-1170,-1234,16646,-25,-3,-11
FF-0F-1E-00,1970175,-1156,-1240,16710,-25,-2,-10
FF-0F-1F-00,2035711,-1182,-1196,16642,-25,-2,-10
FF-0F-20-00,2101247,-1176,-1210,16644,-25,-2,-11
FF-0F-21-00,2166783,-1168,-1204,16688,-25,-2,-11
