acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
4095,4095,13475,-1498,-28,16772
4095,4095,13475,-1498,-28,16772
4095,4095,13476,-1444,12,16666
4095,4095,13476,-1444,12,16666
4095,4095,13477,-1480,-20,16752
4095,4095,13477,-1480,-20,16752
4095,4095,13478,-1466,-32,16702
4095,4095,13478,-1466,-32,16702
4095,4095,13479,-1488,-44,16664
4095,4095,13479,-1488,-44,16664
4095,4095,13480,-1482,-14,16730
4095,4095,13480,-1482,-14,16730
4095,4095,13481,-1512,-22,16788
4095,4095,13481,-1512,-22,16788
4095,4095,13482,-1452,-28,16696
4095,4095,13482,-1452,-28,16696
4095,4095,13483,-1444,-22,16720
4095,4095,13483,-1444,-22,16720
4095,4095,13484,-1466,0,16688
4095,4095,13484,-1466,0,16688
4095,4095,13485,-1470,-56,16680
4095,4095,13485,-1470,-56,16680
4095,4095,13486,-1474,-14,16722
4095,4095,13486,-1474,-14,16722
4095,4095,13487,-1520,6,16756
4095,4095,13487,-1520,6,16756
4095,4095,13488,-1456,-36,16680
4095,4095,13488,-1456,-36,16680
4095,4095,13489,-1434,-22,16654
4095,4095,13489,-1434,-22,16654
4095,4095,13490,-1448,-30,16732
4095,4095,13490,-1448,-30,16732
4095,4095,13491,-1472,-70,16684
4095,4095,13491,-1472,-70,16684
4095,4095,13492,-1492,-8,16808
4095,4095,13492,-1492,-8,16808
4095,4095,13493,-1504,-18,16700
4095,4095,13493,-1504,-18,16700
4095,4095,13494,-1472,-38,16608
4095,4095,13494,-1472,-38,16608
4095,4095,13495,-1494,0,16728
4095,4095,13495,-1494,0,16728
4095,4095,13496,-1418,-54,16716
4095,4095,13496,-1418,-54,16716
4095,4095,13497,-1434,-12,16654
4095,4095,13497,-1434,-12,16654
4095,4095,13498,-1486,-30,16704
4095,4095,13498,-1486,-30,16704
4095,4095,13499,-1510,24,16752
4095,4095,13499,-1510,24,16752
4095,4095,13500,-1500,6,16608
4095,4095,13500,-1500,6,16608
4095,4095,13501,-1462,-32,16760
4095,4095,13501,-1462,-32,16760
4095,4095,13502,-1472,-8,16756
4095,4095,13502,-1472,-8,16756
4095,4095,13503,-1434,-28,16604
4095,4095,13503,-1434,-28,16604
4095,4095,13504,-1444,-28,16688
4095,4095,13504,-1444,-28,16688
4095,4095,13505,-1448,-42,16694
4095,4095,13505,-1448,-42,16694
4095,4095,13506,-1514,-12,16694
4095,4095,13506,-1514,-12,16694
4095,4095,13507,-1488,6,16722
