prefix_hex,prefix_u32_le,accx,accy,accz,gyrx,gyry,gyrz
FF-0F-01-00,69631,1010,16212,-1660,-25,2,-5
FF-0F-02-00,135167,952,16234,-1672,-18,12,-11
FF-0F-03-00,200703,930,16280,-1704,-18,12,-11
FF-0F-04-00,266239,956,16178,-1742,-20,9,-19
FF-0F-05-00,331775,890,16194,-1706,-20,9,-19
FF-0F-06-00,397311,894,16224,-1624,-25,-3,-14
FF-0F-07-00,462847,970,16188,-1622,-25,-3,-14
FF-0F-08-00,528383,906,16256,-1688,-26,-6,-9
FF-0F-09-00,593919,984,16198,-1706,-26,-6,-9
FF-0F-0A-00,659455,978,16204,-1702,-20,-4,-8
FF-0F-0B-00,724991,960,16236,-1686,-20,-4,-8
FF-0F-0C-00,790527,996,16236,-1614,-19,-5,-8
FF-0F-0D-00,856063,1044,16180,-1724,-19,-5,-8
FF-0F-0E-00,921599,914,16180,-1654,-22,-15,-3
FF-0F-0F-00,987135,962,16240,-1628,-22,-15,-3
FF-0F-10-00,1052671,924,16260,-1664,-20,-5,-7
FF-0F-11-00,1118207,946,16200,-1714,-20,-5,-7
FF-0F-12-00,1183743,960,16240,-1668,-24,-18,2
FF-0F-13-00,1249279,908,16164,-1696,-24,-18,2
FF-0F-14-00,1314815,944,16204,-1746,-29,-23,11
FF-0F-15-00,1380351,978,16194,-1710,-29,-23,11
FF-0F-16-00,1445887,870,16198,-1686,-31,-12,22
FF-0F-17-00,1511423,944,16174,-1712,-31,-12,22
FF-0F-18-00,1576959,970,16218,-1666,-30,-4,24
FF-0F-19-00,1642495,1034,16216,-1708,-30,-4,24
FF-0F-1A-00,1708031,1024,16178,-1690,-33,-1,23
FF-0F-1B-00,1773567,1018,16234,-1656,-33,-1,23
FF-0F-1C-00,1839103,1032,16284,-1662,-35,-6,13
FF-0F-1D-00,1904639,1014,16228,-1678,-35,-6,13
FF-0F-1E-00,1970175,986,16236,-1670,-35,-8,11
FF-0F-1F-00,2035711,1002,16206,-1736,-35,-8,11
FF-0F-20-00,2101247,976,16198,-1732,-33,-6,13
FF-0F-21-00,2166783,994,16240,-1646,-33,-6,13
FF-0F-22-00,2232319,1056,16256,-1632,-33,-6,13
FF-0F-23-00,2297855,1040,16218,-1698,-32,-4,20
FF-0F-24-00,2363391,1042,16178,-1700,-32,-4,20
FF-0F-25-00,2428927,1100,16212,-1668,-32,-4,22
FF-0F-26-00,2494463,1068,16230,-1688,-32,-4,22
FF-0F-27-00,2559999,1086,16256,-1642,-32,0,17
FF-0F-28-00,2625535,1056,16210,-1666,-32,0,17
FF-0F-29-00,2691071,1066,16138,-1642,-38,-4,11
FF-0F-2A-00,2756607,1076,16224,-1690,-38,-4,11
FF-0F-2B-00,2822143,1056,16240,-1688,-42,-7,5
FF-0F-2C-00,2887679,1048,16192,-1658,-42,-7,5
FF-0F-2D-00,2953215,1032,16180,-1676,-44,-7,6
FF-0F-2E-00,3018751,1092,16182,-1724,-44,-7,6
FF-0F-2F-00,3084287,1076,16210,-1620,-41,-8,9
FF-0F-30-00,3149823,1056,16186,-1516,-41,-8,9
FF-0F-31-00,3215359,1074,16240,-1598,-43,-4,2
FF-0F-32-00,3280895,984,16270,-1534,-43,-4,2
FF-0F-33-00,3346431,1100,16200,-1650,-39,-19,5
FF-0F-34-00,3411967,1144,16174,-1724,-39,-19,5
FF-0F-35-00,3477503,1058,16198,-1594,-37,-16,8
FF-0F-36-00,3543039,1080,16188,-1688,-37,-16,8
FF-0F-37-00,3608575,1068,16206,-1652,-38,-9,3
FF-0F-38-00,3674111,1098,16162,-1650,-38,-9,3
FF-0F-39-00,3739647,1112,16166,-1642,-45,-11,-5
FF-0F-3A-00,3805183,1142,16186,-1636,-45,-11,-5
FF-0F-3B-00,3870719,1106,16200,-1596,-42,-11,-7
FF-0F-3C-00,3936255,1148,16248,-1566,-42,-11,-7
FF-0F-3D-00,4001791,1138,16256,-1554,-37,-9,-16
FF-0F-3E-00,4067327,1138,16186,-1612,-37,-9,-16
FF-0F-3F-00,4132863,1154,16180,-1614,-32,-16,-36
