prefix_hex,prefix_u32_le,accx,accy,accz,gyrx,gyry,gyrz
FF-0F-CF-00,13570047,-4262,15760,784,27,7,235
FF-0F-D0-00,13635583,-4040,15738,166,27,7,235
FF-0F-D1-00,13701119,-4250,15766,896,31,-42,197
FF-0F-D2-00,13766655,-3912,15776,694,31,-42,197
FF-0F-D3-00,13832191,-3998,15802,488,31,-80,75
FF-0F-D4-00,13897727,-4690,15874,478,31,-80,75
FF-0F-D5-00,13963263,-4502,15824,484,60,-85,-64
FF-0F-D6-00,14028799,-4540,15808,216,60,-85,-64
FF-0F-D7-00,14094335,-4584,15788,574,6,-63,-47
FF-0F-D8-00,14159871,-4244,15784,448,6,-63,-47
FF-0F-D9-00,14225407,-4522,15742,566,-49,-33,-19
FF-0F-DA-00,14290943,-4450,15682,784,-49,-33,-19
FF-0F-DB-00,14356479,-4306,15826,850,-68,26,-6
FF-0F-DC-00,14422015,-4176,15728,324,-68,26,-6
FF-0F-DD-00,14487551,-4660,15692,784,-29,42,-38
FF-0F-DE-00,14553087,-4478,15772,614,-29,42,-38
FF-0F-DF-00,14618623,-4746,15868,664,18,40,-21
FF-0F-E0-00,14684159,-4790,15788,666,18,40,-21
FF-0F-E1-00,14749695,-4746,15852,626,61,6,132
FF-0F-E2-00,14815231,-4514,15982,282,61,6,132
FF-0F-E3-00,14880767,-4912,16080,668,75,27,366
FF-0F-E4-00,14946303,-4802,16090,742,75,27,366
FF-0F-E5-00,15011839,-4604,16162,540,99,80,695
FF-0F-E6-00,15077375,-4546,16228,836,99,80,695
FF-0F-E7-00,15142911,-3858,16158,306,167,85,1046
FF-0F-E8-00,15208447,-3552,16206,236,167,85,1046
FF-0F-E9-00,15273983,-3368,16130,342,167,85,1046
FF-0F-EA-00,15339519,-2442,16708,262,231,208,1262
FF-0F-EB-00,15405055,-3260,15894,1148,231,208,1262
FF-0F-EC-00,15470591,-2128,15942,-242,274,369,1308
FF-0F-ED-00,15536127,-1806,16042,-72,274,369,1308
FF-0F-EE-00,15601663,-1546,15984,-276,271,274,1224
FF-0F-EF-00,15667199,-1640,15826,106,271,274,1224
FF-0F-F0-00,15732735,-1680,15842,-418,198,260,963
FF-0F-F1-00,15798271,-1358,15890,-274,198,260,963
FF-0F-F2-00,15863807,-916,15980,-728,119,220,640
FF-0F-F3-00,15929343,-1066,16356,-290,119,220,640
FF-0F-F4-00,15994879,-1532,16246,-106,22,201,320
FF-0F-F5-00,16060415,-1604,16162,-254,22,201,320
FF-0F-F6-00,16125951,-1610,16254,-164,-61,-4,91
