prefix_hex,prefix_u32_le,accx,accy,accz,gyrx,gyry,gyrz
FF-0F-01-00,69631,-16512,222,154,-24,-5,-7
FF-0F-02-00,135167,-16512,248,274,-24,-5,-7
FF-0F-03-00,200703,-16546,216,188,-25,-1,-9
FF-0F-04-00,266239,-16524,248,56,-25,-1,-9
FF-0F-05-00,331775,-16472,208,186,-25,-2,-12
FF-0F-06-00,397311,-16482,218,292,-25,-2,-12
FF-0F-07-00,462847,-16490,286,154,-25,-5,-12
FF-0F-08-00,528383,-16474,236,138,-25,-5,-12
FF-0F-09-00,593919,-16558,242,196,-25,-5,-12
FF-0F-0A-00,659455,-16614,228,280,-23,-5,-11
FF-0F-0B-00,724991,-16518,242,208,-23,-5,-11
FF-0F-0C-00,790527,-16510,248,54,-24,-2,-12
FF-0F-0D-00,856063,-16466,224,130,-24,-2,-12
FF-0F-0E-00,921599,-16494,286,170,-24,1,-10
FF-0F-0F-00,987135,-16496,206,202,-24,1,-10
FF-0F-10-00,1052671,-16470,206,118,-24,-1,-10
FF-0F-11-00,1118207,-16518,266,140,-24,-1,-10
FF-0F-12-00,1183743,-16460,218,278,-25,-8,-11
FF-0F-13-00,1249279,-16482,244,206,-25,-8,-11
FF-0F-14-00,1314815,-16478,222,200,-26,-5,-9
FF-0F-15-00,1380351,-16526,224,122,-26,-5,-9
FF-0F-16-00,1445887,-16526,214,190,-25,1,-9
FF-0F-17-00,1511423,-16520,266,172,-25,1,-9
FF-0F-18-00,1576959,-16530,236,128,-25,-3,-10
FF-0F-19-00,1642495,-16508,206,102,-25,-3,-10
FF-0F-1A-00,1708031,-16516,234,122,-24,-7,-14
FF-0F-1B-00,1773567,-16506,228,222,-24,-7,-14
FF-0F-1C-00,1839103,-16474,212,218,-25,-7,-15
FF-0F-1D-00,1904639,-16488,248,128,-25,-7,-15
FF-0F-1E-00,1970175,-16516,236,168,-24,-2,-9
FF-0F-1F-00,2035711,-16496,262,196,-24,-2,-9
FF-0F-20-00,2101247,-16488,218,202,-24,-4,-4
FF-0F-21-00,2166783,-16538,198,134,-24,-4,-4
FF-0F-22-00,2232319,-16524,242,100,-25,-7,-9
FF-0F-23-00,2297855,-16524,228,242,-25,-7,-9
FF-0F-24-00,2363391,-16490,278,200,-26,-4,-13
FF-0F-25-00,2428927,-16490,198,178,-26,-4,-13
FF-0F-26-00,2494463,-16542,208,46,-25,-5,-11
FF-0F-27-00,2559999,-16506,238,108,-25,-5,-11
FF-0F-28-00,2625535,-16452,214,224,-24,-8,-8
FF-0F-29-00,2691071,-16508,228,26,-24,-8,-8
FF-0F-2A-00,2756607,-16556,256,6,-24,-8,-8
FF-0F-2B-00,2822143,-16496,252,102,-25,-5,-7
FF-0F-2C-00,2887679,-16488,222,176,-25,-5,-7
FF-0F-2D-00,2953215,-16464,280,230,-25,1,-11
FF-0F-2E-00,3018751,-16532,278,106,-25,1,-11
FF-0F-2F-00,3084287,-16550,188,120,-25,-5,-12
FF-0F-30-00,3149823,-16530,256,222,-25,-5,-12
FF-0F-31-00,3215359,-16476,232,232,-24,-8,-9
FF-0F-32-00,3280895,-16544,214,80,-24,-8,-9
FF-0F-33-00,3346431,-16550,248,86,-25,-2,-7
FF-0F-34-00,3411967,-16484,238,158,-25,-2,-7
FF-0F-35-00,3477503,-16492,198,196,-25,-3,-10
FF-0F-36-00,3543039,-16556,262,168,-25,-3,-10
FF-0F-37-00,3608575,-16506,248,60,-24,-4,-10
FF-0F-38-00,3674111,-16482,244,206,-24,-4,-10
FF-0F-39-00,3739647,-16478,230,220,-24,-4,-9
FF-0F-3A-00,3805183,-16514,228,176,-24,-4,-9
FF-0F-3B-00,3870719,-16506,260,102,-25,-6,-12
FF-0F-3C-00,3936255,-16494,260,64,-25,-6,-12
FF-0F-3D-00,4001791,-16514,232,270,-24,-4,-12
FF-0F-3E-00,4067327,-16548,208,198,-24,-4,-12
FF-0F-3F-00,4132863,-16530,214,26,-25,-2,-10
FF-0F-40-00,4198399,-16490,268,130,-25,-2,-10
FF-0F-41-00,4263935,-16476,236,204,-25,-7,-10
FF-0F-42-00,4329471,-16482,248,178,-25,-7,-10
FF-0F-43-00,4395007,-16508,256,26,-24,-8,-10
FF-0F-44-00,4460543,-16526,286,70,-24,-8,-10
FF-0F-45-00,4526079,-16516,248,252,-25,-3,-10
FF-0F-46-00,4591615,-16496,248,266,-25,-3,-10
FF-0F-47-00,4657151,-16512,224,128,-25,1,-11
FF-0F-48-00,4722687,-16476,254,146,-25,1,-11
FF-0F-49-00,4788223,-16506,262,186,-25,1,-11
FF-0F-4A-00,4853759,-16494,206,220,-24,-2,-8
FF-0F-4B-00,4919295,-16532,254,80,-24,-2,-8
FF-0F-4C-00,4984831,-16560,260,60,-26,-5,-8
FF-0F-4D-00,5050367,-16500,254,234,-26,-5,-8
FF-0F-4E-00,5115903,-16476,254,248,-25,-5,-11
FF-0F-4F-00,5181439,-16476,268,232,-25,-5,-11
FF-0F-50-00,5246975,-16490,212,118,-26,-6,-11
FF-0F-51-00,5312511,-16496,252,230,-26,-6,-11
FF-0F-52-00,5378047,-16464,206,196,-25,-6,-9
FF-0F-53-00,5443583,-16464,248,120,-25,-6,-9
FF-0F-54-00,5509119,-16564,274,48,-25,1,-10
FF-0F-55-00,5574655,-16496,252,120,-25,1,-10
FF-0F-56-00,5640191,-16482,272,184,-25,-4,-8
FF-0F-57-00,5705727,-16476,236,258,-25,-4,-8
FF-0F-58-00,5771263,-16566,198,160,-25,-5,-11
FF-0F-59-00,5836799,-16532,184,6,-25,-5,-11
FF-0F-5A-00,5902335,-16520,268,200,-25,-2,-13
FF-0F-5B-00,5967871,-16490,218,240,-25,-2,-13
FF-0F-5C-00,6033407,-16482,298,138,-25,-2,-10
FF-0F-5D-00,6098943,-16526,260,136,-25,-2,-10
FF-0F-5E-00,6164479,-16530,226,142,-25,-2,-7
FF-0F-5F-00,6230015,-16506,268,234,-25,-2,-7
FF-0F-60-00,6295551,-16498,202,164,-25,-1,-8
FF-0F-61-00,6361087,-16516,264,160,-25,-1,-8
FF-0F-62-00,6426623,-16488,228,266,-24,-5,-10
FF-0F-63-00,6492159,-16500,236,254,-24,-5,-10
FF-0F-64-00,6557695,-16506,224,152,-25,-5,-12
FF-0F-65-00,6623231,-16514,234,106,-25,-5,-12
FF-0F-66-00,6688767,-16502,232,202,-25,-4,-12
FF-0F-67-00,6754303,-16448,232,148,-25,-4,-12
FF-0F-68-00,6819839,-16472,260,142,-24,-4,-8
FF-0F-69-00,6885375,-16514,236,170,-24,-4,-8
FF-0F-6A-00,6950911,-16524,230,130,-24,-4,-8
FF-0F-6B-00,7016447,-16526,262,184,-23,-4,-9
FF-0F-6C-00,7081983,-16460,218,156,-23,-4,-9
FF-0F-6D-00,7147519,-16490,266,74,-25,-2,-9
FF-0F-6E-00,7213055,-16520,236,60,-25,-2,-9
FF-0F-6F-00,7278591,-16542,218,218,-25,-2,-10
FF-0F-70-00,7344127,-16472,242,210,-25,-2,-10
FF-0F-71-00,7409663,-16514,204,142,-25,-6,-11
FF-0F-72-00,7475199,-16512,280,156,-25,-6,-11
FF-0F-73-00,7540735,-16498,252,154,-24,-10,-12
FF-0F-74-00,7606271,-16458,244,228,-24,-10,-12
FF-0F-75-00,7671807,-16514,200,190,-24,-5,-9
FF-0F-76-00,7737343,-16494,230,88,-24,-5,-9
FF-0F-77-00,7802879,-16464,224,162,-25,1,-12
FF-0F-78-00,7868415,-16522,278,294,-25,1,-12
FF-0F-79-00,7933951,-16526,212,268,-25,-2,-10
FF-0F-7A-00,7999487,-16566,248,86,-25,-2,-10
FF-0F-7B-00,8065023,-16482,236,134,-24,-7,-10
FF-0F-7C-00,8130559,-16482,184,216,-24,-7,-10
FF-0F-7D-00,8196095,-16494,242,200,-26,-6,-12
FF-0F-7E-00,8261631,-16524,218,86,-26,-6,-12
FF-0F-7F-00,8327167,-16488,238,176,-25,-5,-10
FF-0F-80-00,8392703,-16484,234,224,-25,-5,-10
FF-0F-81-00,8458239,-16526,262,272,-25,-4,-6
FF-0F-82-00,8523775,-16572,218,178,-25,-4,-6
FF-0F-83-00,8589311,-16598,266,210,-24,-1,-5
FF-0F-84-00,8654847,-16536,232,222,-24,-1,-5
FF-0F-85-00,8720383,-16484,230,226,-25,0,-10
FF-0F-86-00,8785919,-16448,280,122,-25,0,-10
FF-0F-87-00,8851455,-16476,266,100,-25,-3,-13
FF-0F-88-00,8916991,-16464,254,136,-25,-3,-13
FF-0F-89-00,8982527,-16494,268,176,-25,-3,-13
FF-0F-8A-00,9048063,-16484,230,156,-25,-5,-11
FF-0F-8B-00,9113599,-16532,238,164,-25,-5,-11
FF-0F-8C-00,9179135,-16482,228,210,-24,-4,-9
FF-0F-8D-00,9244671,-16518,324,50,-24,-4,-9
FF-0F-8E-00,9310207,-16494,248,122,-24,-6,-8
FF-0F-8F-00,9375743,-16502,236,110,-24,-6,-8
FF-0F-90-00,9441279,-16532,204,102,-24,-7,-8
FF-0F-91-00,9506815,-16500,278,228,-24,-7,-8
FF-0F-92-00,9572351,-16490,242,190,-24,-7,-7
FF-0F-93-00,9637887,-16566,256,162,-24,-7,-7
FF-0F-94-00,9703423,-16544,214,62,-24,-2,-13
FF-0F-95-00,9768959,-16494,228,182,-24,-2,-13
FF-0F-96-00,9834495,-16364,206,140,-24,2,-13
FF-0F-97-00,9900031,-16476,254,146,-24,2,-13
FF-0F-98-00,9965567,-16548,218,84,-24,-3,-11
FF-0F-99-00,10031103,-16544,248,190,-24,-3,-11
FF-0F-9A-00,10096639,-16478,222,222,-24,-7,-7
FF-0F-9B-00,10162175,-16530,238,268,-24,-7,-7
FF-0F-9C-00,10227711,-16526,248,218,-24,-6,-11
FF-0F-9D-00,10293247,-16526,218,148,-24,-6,-11
FF-0F-9E-00,10358783,-16466,232,202,-24,-4,-14
FF-0F-9F-00,10424319,-16546,252,222,-24,-4,-14
FF-0F-A0-00,10489855,-16560,204,30,-25,-3,-9
