prefix_hex,prefix_u32_le,accx,accy,accz,gyrx,gyry,gyrz
FF-0F-01-00,69631,16250,-400,1064,-24,-1,-14
FF-0F-02-00,135167,16256,-392,1090,-24,4,-11
FF-0F-03-00,200703,16228,-558,986,-24,4,-11
FF-0F-04-00,266239,16282,-500,878,-25,-7,-7
FF-0F-05-00,331775,16276,-348,886,-25,-7,-7
FF-0F-06-00,397311,16220,-414,1058,-25,-7,-9
FF-0F-07-00,462847,16264,-296,1004,-25,-7,-9
FF-0F-08-00,528383,16298,-352,962,-24,-5,-9
FF-0F-09-00,593919,16312,-432,892,-24,-5,-9
FF-0F-0A-00,659455,16288,-458,930,-26,-3,-7
FF-0F-0B-00,724991,16224,-462,912,-26,-3,-7
FF-0F-0C-00,790527,16240,-456,932,-25,2,-10
FF-0F-0D-00,856063,16258,-430,986,-25,2,-10
FF-0F-0E-00,921599,16268,-390,962,-25,3,-12
FF-0F-0F-00,987135,16286,-416,1060,-25,3,-12
FF-0F-10-00,1052671,16258,-424,1034,-25,2,-8
FF-0F-11-00,1118207,16290,-406,1002,-25,2,-8
FF-0F-12-00,1183743,16262,-412,1106,-25,2,-8
FF-0F-13-00,1249279,16224,-524,1088,-25,-2,-7
FF-0F-14-00,1314815,16268,-528,876,-25,-2,-7
FF-0F-15-00,1380351,16258,-438,866,-25,-7,-8
FF-0F-16-00,1445887,16258,-380,878,-25,-7,-8
FF-0F-17-00,1511423,16272,-424,946,-25,-5,-13
FF-0F-18-00,1576959,16264,-378,1022,-25,-5,-13
FF-0F-19-00,1642495,16262,-424,1042,-24,4,-8
FF-0F-1A-00,1708031,16334,-518,972,-24,4,-8
FF-0F-1B-00,1773567,16250,-364,936,-25,2,-8
FF-0F-1C-00,1839103,16204,-450,942,-25,2,-8
FF-0F-1D-00,1904639,16258,-468,988,-24,-1,-9
FF-0F-1E-00,1970175,16250,-352,1066,-24,-1,-9
FF-0F-1F-00,2035711,16252,-446,1184,-24,-4,-8
FF-0F-20-00,2101247,16252,-488,1102,-24,-4,-8
FF-0F-21-00,2166783,16252,-432,902,-24,-17,-9
FF-0F-22-00,2232319,16268,-368,808,-24,-17,-9
FF-0F-23-00,2297855,16264,-360,784,-25,-16,-12
FF-0F-24-00,2363391,16264,-392,1022,-25,-16,-12
FF-0F-25-00,2428927,16252,-498,1028,-24,-3,-7
FF-0F-26-00,2494463,16226,-536,1012,-24,-3,-7
FF-0F-27-00,2559999,16226,-400,1004,-25,-7,-9
FF-0F-28-00,2625535,16248,-432,1030,-25,-7,-9
FF-0F-29-00,2691071,16274,-388,978,-24,-9,-11
FF-0F-2A-00,2756607,16226,-388,1020,-24,-9,-11
FF-0F-2B-00,2822143,16292,-446,966,-25,-9,-10
FF-0F-2C-00,2887679,16224,-352,1048,-25,-9,-10
FF-0F-2D-00,2953215,16210,-490,998,-24,-9,-6
FF-0F-2E-00,3018751,16224,-446,966,-24,-9,-6
FF-0F-2F-00,3084287,16234,-424,966,-25,-16,-6
FF-0F-30-00,3149823,16280,-510,820,-25,-16,-6
FF-0F-31-00,3215359,16248,-420,840,-25,-16,-6
FF-0F-32-00,3280895,16258,-364,922,-26,-13,-10
FF-0F-33-00,3346431,16274,-392,968,-26,-13,-10
FF-0F-34-00,3411967,16276,-454,1138,-24,1,-12
FF-0F-35-00,3477503,16214,-402,1032,-24,1,-12
FF-0F-36-00,3543039,16264,-426,924,-25,-2,-9
FF-0F-37-00,3608575,16268,-454,990,-25,-2,-9
FF-0F-38-00,3674111,16262,-396,996,-24,-3,-10
FF-0F-39-00,3739647,16282,-450,1046,-24,-3,-10
FF-0F-3A-00,3805183,16280,-364,980,-23,-2,-11
FF-0F-3B-00,3870719,16272,-390,956,-23,-2,-11
FF-0F-3C-00,3936255,16252,-432,1042,-24,-1,-9
FF-0F-3D-00,4001791,16232,-480,1012,-24,-1,-9
FF-0F-3E-00,4067327,16224,-424,938,-25,1,-9
FF-0F-3F-00,4132863,16262,-396,916,-25,1,-9
FF-0F-40-00,4198399,16234,-414,986,-25,-5,-11
FF-0F-41-00,4263935,16234,-438,1018,-25,-5,-11
FF-0F-42-00,4329471,16276,-500,1020,-24,-7,-11
FF-0F-43-00,4395007,16252,-420,890,-24,-7,-11
FF-0F-44-00,4460543,16238,-358,768,-24,-6,-15
FF-0F-45-00,4526079,16274,-292,1016,-24,-6,-15
FF-0F-46-00,4591615,16214,-414,1024,-24,8,-12
FF-0F-47-00,4657151,16234,-440,1012,-24,8,-12
FF-0F-48-00,4722687,16248,-464,1234,-24,10,-4
FF-0F-49-00,4788223,16226,-494,1202,-24,10,-4
FF-0F-4A-00,4853759,16262,-484,1062,-26,-6,-5
FF-0F-4B-00,4919295,16276,-360,1018,-26,-6,-5
FF-0F-4C-00,4984831,16274,-330,836,-26,-15,-11
FF-0F-4D-00,5050367,16306,-474,862,-26,-15,-11
FF-0F-4E-00,5115903,16248,-476,956,-24,-6,-7
FF-0F-4F-00,5181439,16216,-498,992,-24,-6,-7
FF-0F-50-00,5246975,16226,-396,1022,-23,-2,-9
FF-0F-51-00,5312511,16228,-296,1106,-23,-2,-9
FF-0F-52-00,5378047,16238,-508,1052,-23,-2,-9
FF-0F-53-00,5443583,16262,-390,966,-25,-12,-5
FF-0F-54-00,5509119,16202,-474,854,-25,-12,-5
FF-0F-55-00,5574655,16260,-466,740,-24,-13,-5
FF-0F-56-00,5640191,16298,-400,854,-24,-13,-5
FF-0F-57-00,5705727,16196,-424,1018,-25,3,-10
FF-0F-58-00,5771263,16254,-428,1080,-25,3,-10
FF-0F-59-00,5836799,16252,-438,1164,-24,12,-12
FF-0F-5A-00,5902335,16250,-390,1028,-24,12,-12
FF-0F-5B-00,5967871,16276,-498,976,-25,-5,-11
FF-0F-5C-00,6033407,16252,-306,886,-25,-5,-11
FF-0F-5D-00,6098943,16298,-424,932,-25,-11,-9
FF-0F-5E-00,6164479,16264,-406,998,-25,-11,-9
FF-0F-5F-00,6230015,16250,-458,1070,-24,-2,-9
FF-0F-60-00,6295551,16226,-494,978,-24,-2,-9
FF-0F-61-00,6361087,16248,-430,1028,-25,-3,-11
FF-0F-62-00,6426623,16258,-420,966,-25,-3,-11
FF-0F-63-00,6492159,16224,-508,796,-25,-8,-13
FF-0F-64-00,6557695,16256,-368,812,-25,-8,-13
FF-0F-65-00,6623231,16264,-358,968,-24,1,-13
FF-0F-66-00,6688767,16226,-406,1218,-24,1,-13
FF-0F-67-00,6754303,16256,-456,1272,-24,3,-8
FF-0F-68-00,6819839,16208,-540,1090,-24,3,-8
FF-0F-69-00,6885375,16248,-518,644,-26,-16,-13
FF-0F-6A-00,6950911,16234,-388,542,-26,-16,-13
FF-0F-6B-00,7016447,16296,-320,866,-25,-4,-17
FF-0F-6C-00,7081983,16252,-508,1294,-25,-4,-17
FF-0F-6D-00,7147519,16224,-396,856,-25,9,-9
FF-0F-6E-00,7213055,16312,-456,1364,-25,9,-9
FF-0F-6F-00,7278591,16234,-372,962,-24,2,-10
FF-0F-70-00,7344127,16240,-348,866,-24,2,-10
FF-0F-71-00,7409663,16220,-378,990,-24,2,-10
FF-0F-72-00,7475199,16272,-370,990,-25,1,-7
FF-0F-73-00,7540735,16268,-450,1018,-25,1,-7
FF-0F-74-00,7606271,16234,-508,1088,-25,3,-2
FF-0F-75-00,7671807,16264,-378,1092,-25,3,-2
FF-0F-76-00,7737343,16258,-480,880,-24,-6,-8
FF-0F-77-00,7802879,16328,-488,818,-24,-6,-8
FF-0F-78-00,7868415,16238,-260,862,-24,-6,-15
FF-0F-79-00,7933951,16204,-344,976,-24,-6,-15
FF-0F-7A-00,7999487,16258,-424,1040,-24,9,-11
FF-0F-7B-00,8065023,16282,-468,1160,-24,9,-11
FF-0F-7C-00,8130559,16210,-468,1098,-24,3,-3
FF-0F-7D-00,8196095,16280,-436,946,-24,3,-3
FF-0F-7E-00,8261631,16286,-480,968,-24,-9,-8
FF-0F-7F-00,8327167,16300,-456,880,-24,-9,-8
FF-0F-80-00,8392703,16262,-430,1004,-24,-7,-10
FF-0F-81-00,8458239,16252,-400,1042,-24,-7,-10
FF-0F-82-00,8523775,16190,-424,996,-24,-3,-12
FF-0F-83-00,8589311,16262,-406,1158,-24,-3,-12
FF-0F-84-00,8654847,16250,-416,1164,-25,-8,-10
FF-0F-85-00,8720383,16248,-436,840,-25,-8,-10
FF-0F-86-00,8785919,16256,-340,652,-26,-16,-8
FF-0F-87-00,8851455,16272,-364,748,-26,-16,-8
FF-0F-88-00,8916991,16232,-460,1032,-24,12,-6
FF-0F-89-00,8982527,16226,-456,1100,-24,12,-6
FF-0F-8A-00,9048063,16226,-484,1024,-24,18,-8
FF-0F-8B-00,9113599,16224,-486,1192,-24,18,-8
FF-0F-8C-00,9179135,16272,-376,1186,-24,5,-12
FF-0F-8D-00,9244671,16202,-424,1078,-24,5,-12
FF-0F-8E-00,9310207,16202,-400,1046,-24,-11,-7
FF-0F-8F-00,9375743,16286,-406,926,-24,-11,-7
FF-0F-90-00,9441279,16256,-436,1026,-24,-11,-7
FF-0F-91-00,9506815,16244,-460,1142,-25,-14,-8
FF-0F-92-00,9572351,16274,-508,1080,-25,-14,-8
FF-0F-93-00,9637887,16252,-524,934,-24,-13,-6
FF-0F-94-00,9703423,16264,-460,746,-24,-13,-6
FF-0F-95-00,9768959,16234,-388,856,-25,-17,-14
FF-0F-96-00,9834495,16258,-428,868,-25,-17,-14
FF-0F-97-00,9900031,16234,-406,1192,-24,-3,-15
FF-0F-98-00,9965567,16244,-346,1006,-24,-3,-15
FF-0F-99-00,10031103,16254,-542,1028,-23,-2,-9
FF-0F-9A-00,10096639,16248,-330,908,-23,-2,-9
FF-0F-9B-00,10162175,16220,-420,864,-25,-5,-9
FF-0F-9C-00,10227711,16274,-468,996,-25,-5,-9
FF-0F-9D-00,10293247,16262,-408,1090,-24,-1,-6
FF-0F-9E-00,10358783,16248,-530,1022,-24,-1,-6
FF-0F-9F-00,10424319,16256,-478,984,-25,-2,-8
FF-0F-A0-00,10489855,16252,-288,924,-25,-2,-8
FF-0F-A1-00,10555391,16334,-354,942,-24,-5,-14
FF-0F-A2-00,10620927,16204,-346,1154,-24,-5,-14
FF-0F-A3-00,10686463,16274,-492,940,-24,-1,-7
FF-0F-A4-00,10751999,16292,-426,960,-24,-1,-7
FF-0F-A5-00,10817535,16224,-430,828,-24,-4,-5
FF-0F-A6-00,10883071,16280,-438,908,-24,-4,-5
FF-0F-A7-00,10948607,16286,-444,1120,-24,9,-8
FF-0F-A8-00,11014143,16264,-446,1118,-24,9,-8
FF-0F-A9-00,11079679,16282,-460,960,-24,10,-12
FF-0F-AA-00,11145215,16274,-392,1018,-24,10,-12
FF-0F-AB-00,11210751,16214,-316,1104,-24,4,-11
FF-0F-AC-00,11276287,16210,-512,1010,-24,4,-11
FF-0F-AD-00,11341823,16248,-412,1142,-25,-6,-5
FF-0F-AE-00,11407359,16272,-462,1028,-25,-6,-5
FF-0F-AF-00,11472895,16220,-364,846,-25,-14,-9
FF-0F-B0-00,11538431,16244,-450,870,-25,-14,-9
FF-0F-B1-00,11603967,16274,-432,908,-25,-14,-9
FF-0F-B2-00,11669503,16268,-424,954,-25,-9,-9
FF-0F-B3-00,11735039,16278,-364,1114,-25,-9,-9
FF-0F-B4-00,11800575,16258,-416,1092,-25,-1,-10
FF-0F-B5-00,11866111,16248,-494,1006,-25,-1,-10
FF-0F-B6-00,11931647,16252,-436,1040,-25,-7,-9
FF-0F-B7-00,11997183,16272,-414,1014,-25,-7,-9
FF-0F-B8-00,12062719,16256,-458,918,-25,-12,-7
FF-0F-B9-00,12128255,16298,-400,966,-25,-12,-7
FF-0F-BA-00,12193791,16256,-456,1062,-25,-3,-7
FF-0F-BB-00,12259327,16238,-486,1144,-25,-3,-7
FF-0F-BC-00,12324863,16258,-472,1154,-24,0,-12
FF-0F-BD-00,12390399,16186,-440,1036,-24,0,-12
FF-0F-BE-00,12455935,16256,-364,952,-24,-11,-14
FF-0F-BF-00,12521471,16244,-286,962,-24,-11,-14
FF-0F-C0-00,12587007,16228,-370,1026,-25,-14,-10
FF-0F-C1-00,12652543,16300,-430,1054,-25,-14,-10
FF-0F-C2-00,12718079,16272,-508,1082,-25,-12,-7
FF-0F-C3-00,12783615,16276,-470,938,-25,-12,-7
FF-0F-C4-00,12849151,16264,-438,964,-25,-11,-12
FF-0F-C5-00,12914687,16226,-444,932,-25,-11,-12
FF-0F-C6-00,12980223,16238,-426,870,-24,-6,-12
FF-0F-C7-00,13045759,16272,-400,904,-24,-6,-12
FF-0F-C8-00,13111295,16234,-344,1004,-24,-2,-11
FF-0F-C9-00,13176831,16252,-426,1022,-24,-2,-11
FF-0F-CA-00,13242367,16300,-464,1144,-25,-5,-7
FF-0F-CB-00,13307903,16256,-436,1000,-25,-5,-7
FF-0F-CC-00,13373439,16246,-512,824,-24,-14,-7
FF-0F-CD-00,13438975,16258,-344,908,-24,-14,-7
FF-0F-CE-00,13504511,16264,-462,904,-24,-9,-11
FF-0F-CF-00,13570047,16280,-474,930,-24,-9,-11
FF-0F-D0-00,13635583,16214,-382,988,-24,-9,-11
FF-0F-D1-00,13701119,16224,-392,1004,-24,-5,-10
FF-0F-D2-00,13766655,16292,-368,1016,-24,-5,-10
FF-0F-D3-00,13832191,16262,-438,1028,-24,-3,-9
FF-0F-D4-00,13897727,16272,-446,976,-24,-3,-9
FF-0F-D5-00,13963263,16238,-402,894,-24,-7,-9
FF-0F-D6-00,14028799,16204,-420,856,-24,-7,-9
FF-0F-D7-00,14094335,16220,-444,976,-24,-1,-10
FF-0F-D8-00,14159871,16268,-432,984,-24,-1,-10
FF-0F-D9-00,14225407,16220,-424,998,-24,1,-10
FF-0F-DA-00,14290943,16250,-412,924,-24,1,-10
FF-0F-DB-00,14356479,16262,-402,986,-24,-2,-11
FF-0F-DC-00,14422015,16256,-384,1046,-24,-2,-11
FF-0F-DD-00,14487551,16300,-474,952,-24,-4,-9
FF-0F-DE-00,14553087,16256,-432,886,-24,-4,-9
FF-0F-DF-00,14618623,16224,-456,898,-25,-3,-10
FF-0F-E0-00,14684159,16258,-400,1062,-25,-3,-10
FF-0F-E1-00,14749695,16274,-436,1116,-25,0,-10
FF-0F-E2-00,14815231,16186,-480,1134,-25,0,-10
FF-0F-E3-00,14880767,16290,-340,1004,-26,-13,-9
FF-0F-E4-00,14946303,16302,-404,930,-26,-13,-9
FF-0F-E5-00,15011839,16204,-432,858,-25,-15,-8
FF-0F-E6-00,15077375,16292,-370,916,-25,-15,-8
FF-0F-E7-00,15142911,16200,-390,922,-23,-2,-8
FF-0F-E8-00,15208447,16224,-534,752,-23,-2,-8
FF-0F-E9-00,15273983,16272,-500,874,-24,15,-5
FF-0F-EA-00,15339519,16172,-328,834,-24,15,-5
FF-0F-EB-00,15405055,16330,-300,1010,-22,31,-10
FF-0F-EC-00,15470591,16312,-334,964,-22,31,-10
FF-0F-ED-00,15536127,16252,-576,314,-17,47,2
FF-0F-EE-00,15601663,16478,-412,616,-17,47,2
FF-0F-EF-00,15667199,16192,-224,1372,-20,65,-11
FF-0F-F0-00,15732735,16228,-402,828,-20,65,-11
FF-0F-F1-00,15798271,16392,400,1200,-20,65,-11
FF-0F-F2-00,15863807,16382,-1014,2066,-24,54,-1
FF-0F-F3-00,15929343,16396,200,460,-24,54,-1
FF-0F-F4-00,15994879,16350,-930,622,-25,44,-5
FF-0F-F5-00,16060415,16358,6,792,-25,44,-5
FF-0F-F6-00,16125951,16274,-494,832,-19,91,0
FF-0F-F7-00,16191487,16322,-220,332,-19,91,0
FF-0F-F8-00,16257023,16248,-1410,-82,-22,91,1
FF-0F-F9-00,16322559,16144,-160,1524,-22,91,1
FF-0F-FA-00,16388095,16244,-628,1822,-24,74,-3
FF-0F-FB-00,16453631,16248,-606,1836,-24,74,-3
FF-0F-FC-00,16519167,16234,-252,1310,-24,43,-5
FF-0F-FD-00,16584703,16224,-948,1102,-24,43,-5
