prefix_hex,prefix_u32_le,accx,accy,accz,gyrx,gyry,gyrz
FF-0F-01-00,69631,-466,-16442,892,-22,-4,-10
FF-0F-02-00,135167,-500,-16376,818,-22,-4,-10
FF-0F-03-00,200703,-466,-16398,746,-25,-3,-11
FF-0F-04-00,266239,-434,-16358,754,-25,-3,-11
FF-0F-05-00,331775,-486,-16402,844,-24,-3,-11
FF-0F-06-00,397311,-464,-16362,728,-24,-3,-11
FF-0F-07-00,462847,-478,-16374,758,-24,-4,-10
FF-0F-08-00,528383,-488,-16424,800,-24,-4,-10
FF-0F-09-00,593919,-428,-16340,824,-24,-4,-10
FF-0F-0A-00,659455,-504,-16378,794,-24,-4,-11
FF-0F-0B-00,724991,-464,-16386,754,-24,-4,-11
FF-0F-0C-00,790527,-464,-16392,868,-24,-3,-10
FF-0F-0D-00,856063,-464,-16398,702,-24,-3,-10
FF-0F-0E-00,921599,-490,-16374,802,-24,-4,-9
FF-0F-0F-00,987135,-502,-16416,786,-24,-4,-9
FF-0F-10-00,1052671,-494,-16358,808,-25,-3,-11
FF-0F-11-00,1118207,-460,-16344,776,-25,-3,-11
FF-0F-12-00,1183743,-500,-16404,822,-24,-3,-11
FF-0F-13-00,1249279,-506,-16408,800,-24,-3,-11
FF-0F-14-00,1314815,-482,-16412,716,-24,-3,-10
FF-0F-15-00,1380351,-506,-16364,816,-24,-3,-10
FF-0F-16-00,1445887,-466,-16350,750,-25,-4,-10
FF-0F-17-00,1511423,-458,-16460,844,-25,-4,-10
FF-0F-18-00,1576959,-506,-16364,772,-23,-3,-10
FF-0F-19-00,1642495,-494,-16446,834,-23,-3,-10
FF-0F-1A-00,1708031,-464,-16402,810,-24,-3,-9
FF-0F-1B-00,1773567,-486,-16426,786,-24,-3,-9
FF-0F-1C-00,1839103,-534,-16296,556,-27,-2,-10
FF-0F-1D-00,1904639,-482,-16432,820,-27,-2,-10
FF-0F-1E-00,1970175,-522,-16454,872,-22,-5,-11
FF-0F-1F-00,2035711,-484,-16304,692,-22,-5,-11
FF-0F-20-00,2101247,-452,-16340,862,-24,-3,-9
FF-0F-21-00,2166783,-488,-16402,758,-24,-3,-9
FF-0F-22-00,2232319,-436,-16432,736,-27,-2,-10
