prefix_hex,prefix_u32_le,accx,accy,accz,gyrx,gyry,gyrz
FF-0F-01-00,69631,340,16338,-292,-24,-4,-9
FF-0F-02-00,135167,364,16366,-262,-24,-5,-10
FF-0F-03-00,200703,362,16342,-268,-24,-5,-10
FF-0F-04-00,266239,380,16368,-260,-24,-5,-10
FF-0F-05-00,331775,374,16324,-216,-24,-5,-10
FF-0F-06-00,397311,352,16312,-254,-24,-4,-11
FF-0F-07-00,462847,368,16348,-322,-24,-4,-11
FF-0F-08-00,528383,336,16354,-288,-25,-3,-10
FF-0F-09-00,593919,304,16344,-198,-25,-3,-10
FF-0F-0A-00,659455,380,16344,-248,-25,-4,-10
FF-0F-0B-00,724991,398,16396,-224,-25,-4,-10
FF-0F-0C-00,790527,340,16356,-316,-23,-5,-12
FF-0F-0D-00,856063,354,16302,-246,-23,-5,-12
FF-0F-0E-00,921599,386,16308,-196,-25,-4,-10
FF-0F-0F-00,987135,380,16386,-288,-25,-4,-10
FF-0F-10-00,1052671,328,16342,-194,-24,-3,-9
FF-0F-11-00,1118207,398,16314,-346,-24,-3,-9
FF-0F-12-00,1183743,354,16376,-230,-23,-4,-8
FF-0F-13-00,1249279,362,16342,-166,-23,-4,-8
FF-0F-14-00,1314815,370,16400,-268,-24,-3,-10
FF-0F-15-00,1380351,346,16332,-290,-24,-3,-10
FF-0F-16-00,1445887,338,16342,-206,-25,-4,-9
FF-0F-17-00,1511423,386,16336,-218,-25,-4,-9
FF-0F-18-00,1576959,358,16408,-322,-23,-3,-10
FF-0F-19-00,1642495,378,16328,-186,-23,-3,-10
FF-0F-1A-00,1708031,350,16292,-188,-23,-3,-9
FF-0F-1B-00,1773567,386,16390,-252,-23,-3,-9
FF-0F-1C-00,1839103,422,16424,-248,-23,-3,-9
FF-0F-1D-00,1904639,382,16328,-142,-25,-4,-10
FF-0F-1E-00,1970175,356,16368,-320,-25,-4,-10
FF-0F-1F-00,2035711,362,16356,-224,-23,-4,-10
FF-0F-20-00,2101247,364,16264,-588,-23,-4,-10
FF-0F-21-00,2166783,390,16332,-352,-24,-3,-10
FF-0F-22-00,2232319,414,16392,-418,-24,-3,-10
FF-0F-23-00,2297855,394,16270,-192,-23,-3,-9
FF-0F-24-00,2363391,348,16392,-434,-23,-3,-9
FF-0F-25-00,2428927,350,16376,-354,-23,-3,-10
FF-0F-26-00,2494463,366,16386,-240,-23,-3,-10
FF-0F-27-00,2559999,366,16360,-350,-25,-4,-9
FF-0F-28-00,2625535,380,16376,-200,-25,-4,-9
FF-0F-29-00,2691071,370,16386,-412,-24,-4,-10
FF-0F-2A-00,2756607,390,16338,-156,-24,-4,-10
FF-0F-2B-00,2822143,370,16438,-232,-24,-4,-9
FF-0F-2C-00,2887679,318,16284,-214,-24,-4,-9
FF-0F-2D-00,2953215,352,16348,-242,-23,-3,-9
FF-0F-2E-00,3018751,386,16332,-338,-23,-3,-9
FF-0F-2F-00,3084287,342,16404,-170,-24,-4,-10
FF-0F-30-00,3149823,420,16330,-164,-24,-4,-10
FF-0F-31-00,3215359,342,16390,-284,-24,-4,-9
FF-0F-32-00,3280895,340,16352,-260,-24,-4,-9
FF-0F-33-00,3346431,362,16386,-336,-24,-3,-10
FF-0F-34-00,3411967,384,16322,-174,-24,-3,-10
FF-0F-35-00,3477503,356,16368,-324,-24,-4,-11
FF-0F-36-00,3543039,404,16376,-300,-24,-4,-11
FF-0F-37-00,3608575,362,16298,-270,-24,-4,-10
FF-0F-38-00,3674111,346,16336,-142,-24,-4,-10
FF-0F-39-00,3739647,394,16396,-188,-24,-4,-9
FF-0F-3A-00,3805183,304,16292,-756,-24,-4,-9
FF-0F-3B-00,3870719,316,16386,-202,-19,-5,-10
FF-0F-3C-00,3936255,356,16258,-100,-19,-5,-10
FF-0F-3D-00,4001791,344,16386,-690,-19,-5,-10
FF-0F-3E-00,4067327,436,16252,-584,-27,-5,-10
FF-0F-3F-00,4132863,366,16452,-320,-27,-5,-10
FF-0F-40-00,4198399,350,16274,-184,-25,-2,-10
FF-0F-41-00,4263935,318,16380,-160,-25,-2,-10
FF-0F-42-00,4329471,346,16400,-308,-25,-5,-10
FF-0F-43-00,4395007,398,16252,-250,-25,-5,-10
FF-0F-44-00,4460543,364,16354,-150,-23,-3,-9
FF-0F-45-00,4526079,366,16344,-330,-23,-3,-9
FF-0F-46-00,4591615,316,16402,-320,-26,-4,-10
FF-0F-47-00,4657151,340,16398,-292,-26,-4,-10
FF-0F-48-00,4722687,358,16330,-272,-22,-4,-10
FF-0F-49-00,4788223,362,16372,-266,-22,-4,-10
FF-0F-4A-00,4853759,398,16448,-378,-26,-4,-9
FF-0F-4B-00,4919295,358,16284,-340,-26,-4,-9
FF-0F-4C-00,4984831,356,16372,-256,-25,-3,-9
FF-0F-4D-00,5050367,328,16362,-244,-25,-3,-9
FF-0F-4E-00,5115903,338,16356,-266,-24,-4,-10
FF-0F-4F-00,5181439,322,16380,-342,-24,-4,-10
FF-0F-50-00,5246975,374,16360,-296,-25,-4,-11
FF-0F-51-00,5312511,374,16352,-176,-25,-4,-11
FF-0F-52-00,5378047,364,16318,-62,-24,-3,-9
FF-0F-53-00,5443583,380,16414,-310,-24,-3,-9
FF-0F-54-00,5509119,342,16328,-252,-27,-5,-8
FF-0F-55-00,5574655,304,16312,-182,-27,-5,-8
FF-0F-56-00,5640191,334,16348,-284,-22,-3,-10
FF-0F-57-00,5705727,350,16388,-318,-22,-3,-10
FF-0F-58-00,5771263,336,16280,-162,-27,-4,-9
FF-0F-59-00,5836799,344,16336,-110,-27,-4,-9
FF-0F-5A-00,5902335,414,16312,-286,-24,-4,-10
FF-0F-5B-00,5967871,356,16390,-254,-24,-4,-10
FF-0F-5C-00,6033407,326,16370,-200,-24,-4,-10
FF-0F-5D-00,6098943,378,16318,-190,-22,-4,-11
FF-0F-5E-00,6164479,382,16284,-244,-22,-4,-11
FF-0F-5F-00,6230015,366,16384,-318,-26,-4,-10
FF-0F-60-00,6295551,364,16354,-236,-26,-4,-10
FF-0F-61-00,6361087,332,16396,-168,-25,-5,-10
FF-0F-62-00,6426623,342,16372,-212,-25,-5,-10
FF-0F-63-00,6492159,380,16396,-398,-22,-4,-10
FF-0F-64-00,6557695,386,16322,-266,-22,-4,-10
FF-0F-65-00,6623231,346,16298,-250,-24,-3,-9
FF-0F-66-00,6688767,364,16288,-122,-24,-3,-9
FF-0F-67-00,6754303,356,16366,-206,-25,-3,-10
FF-0F-68-00,6819839,316,16354,-284,-25,-3,-10
FF-0F-69-00,6885375,298,16376,-260,-22,-4,-10
FF-0F-6A-00,6950911,378,16448,-418,-22,-4,-10
FF-0F-6B-00,7016447,454,16298,-244,-23,-4,-9
FF-0F-6C-00,7081983,344,16442,-252,-23,-4,-9
FF-0F-6D-00,7147519,298,16228,-170,-28,-4,-9
FF-0F-6E-00,7213055,338,16312,-278,-28,-4,-9
FF-0F-6F-00,7278591,380,16366,-208,-20,-5,-11
FF-0F-70-00,7344127,358,16438,-262,-20,-5,-11
FF-0F-71-00,7409663,388,16300,-230,-29,-4,-9
FF-0F-72-00,7475199,364,16336,-292,-29,-4,-9
FF-0F-73-00,7540735,374,16410,-312,-21,-3,-10
FF-0F-74-00,7606271,364,16318,-294,-21,-3,-10
FF-0F-75-00,7671807,362,16304,-188,-28,-3,-9
FF-0F-76-00,7737343,352,16348,-302,-28,-3,-9
FF-0F-77-00,7802879,380,16348,-284,-22,-4,-11
FF-0F-78-00,7868415,362,16372,-328,-22,-4,-11
FF-0F-79-00,7933951,332,16312,-278,-27,-5,-10
FF-0F-7A-00,7999487,340,16284,-174,-27,-5,-10
FF-0F-7B-00,8065023,378,16354,-134,-23,-4,-8
FF-0F-7C-00,8130559,334,16336,-336,-23,-4,-8
FF-0F-7D-00,8196095,368,16306,-326,-23,-4,-8
FF-0F-7E-00,8261631,364,16318,-236,-25,-3,-10
FF-0F-7F-00,8327167,398,16386,-308,-25,-3,-10
FF-0F-80-00,8392703,386,16328,-314,-24,-3,-10
FF-0F-81-00,8458239,340,16352,-240,-24,-3,-10
FF-0F-82-00,8523775,316,16336,-262,-25,-4,-8
FF-0F-83-00,8589311,390,16356,-290,-25,-4,-8
FF-0F-84-00,8654847,380,16336,-268,-24,-5,-10
FF-0F-85-00,8720383,366,16378,-316,-24,-5,-10
FF-0F-86-00,8785919,350,16332,-172,-23,-4,-11
FF-0F-87-00,8851455,386,16318,-390,-23,-4,-11
FF-0F-88-00,8916991,378,16342,-260,-25,-3,-10
