prefix_hex,prefix_u32_le,accx,accy,accz,gyrx,gyry,gyrz
FF-0F-01-00,69631,-324,-2652,-15930,-24,-5,-11
FF-0F-02-00,135167,-366,-2602,-15924,-25,-4,-10
FF-0F-03-00,200703,-358,-2632,-15962,-25,-4,-10
FF-0F-04-00,266239,-304,-2558,-15868,-25,-4,-10
FF-0F-05-00,331775,-328,-2582,-15800,-25,-4,-10
FF-0F-06-00,397311,-312,-2578,-15912,-25,-4,-10
FF-0F-07-00,462847,-300,-2600,-15950,-21,-5,-10
FF-0F-08-00,528383,-310,-2578,-15882,-21,-5,-10
FF-0F-09-00,593919,-300,-2606,-16054,-25,-5,-10
FF-0F-0A-00,659455,-306,-2578,-16016,-25,-5,-10
FF-0F-0B-00,724991,-310,-2628,-15940,-24,-5,-9
FF-0F-0C-00,790527,-310,-2664,-15974,-24,-5,-9
FF-0F-0D-00,856063,-342,-2600,-15884,-19,-4,-9
FF-0F-0E-00,921599,-276,-2622,-16000,-19,-4,-9
FF-0F-0F-00,987135,-314,-2560,-16066,-24,-4,-9
FF-0F-10-00,1052671,-296,-2640,-15916,-24,-4,-9
FF-0F-11-00,1118207,-270,-2658,-15864,-26,-3,-9
FF-0F-12-00,1183743,-312,-2624,-15984,-26,-3,-9
FF-0F-13-00,1249279,-264,-2614,-15918,-22,-5,-11
FF-0F-14-00,1314815,-282,-2632,-15936,-22,-5,-11
FF-0F-15-00,1380351,-312,-2608,-15948,-21,-5,-10
FF-0F-16-00,1445887,-330,-2610,-15886,-21,-5,-10
FF-0F-17-00,1511423,-286,-2588,-15948,-24,-5,-11
FF-0F-18-00,1576959,-332,-2638,-15992,-24,-5,-11
FF-0F-19-00,1642495,-234,-2588,-15944,-26,-5,-11
FF-0F-1A-00,1708031,-318,-2668,-15982,-26,-5,-11
FF-0F-1B-00,1773567,-334,-2614,-15958,-21,-6,-10
FF-0F-1C-00,1839103,-318,-2614,-15978,-21,-6,-10
FF-0F-1D-00,1904639,-336,-2608,-15936,-21,-5,-10
FF-0F-1E-00,1970175,-368,-2616,-15828,-21,-5,-10
FF-0F-1F-00,2035711,-312,-2652,-15936,-26,-4,-11
FF-0F-20-00,2101247,-258,-2646,-15976,-26,-4,-11
FF-0F-21-00,2166783,-314,-2616,-15962,-24,-5,-9
FF-0F-22-00,2232319,-338,-2616,-15888,-24,-5,-9
FF-0F-23-00,2297855,-262,-2658,-15872,-21,-4,-10
