prefix_hex,prefix_u32_le,accx,accy,accz,gyrx,gyry,gyrz
FF-0F-01-00,69631,402,-146,16774,-25,-5,-10
FF-0F-02-00,135167,312,-146,16696,-25,-3,-10
FF-0F-03-00,200703,366,-180,16770,-25,-3,-10
FF-0F-04-00,266239,386,-186,16728,-25,-3,-10
FF-0F-05-00,331775,336,-92,16688,-25,-3,-10
FF-0F-06-00,397311,366,-172,16630,-24,-4,-8
FF-0F-07-00,462847,350,-142,16678,-24,-4,-8
FF-0F-08-00,528383,320,-118,16660,-24,-5,-9
FF-0F-09-00,593919,372,-156,16794,-24,-5,-9
FF-0F-0A-00,659455,380,-176,16710,-25,-5,-9
FF-0F-0B-00,724991,378,-100,16640,-25,-5,-9
FF-0F-0C-00,790527,420,-186,16800,-24,-4,-9
FF-0F-0D-00,856063,356,-160,16736,-24,-4,-9
FF-0F-0E-00,921599,382,-172,16672,-25,-5,-9
FF-0F-0F-00,987135,386,-178,16714,-25,-5,-9
FF-0F-10-00,1052671,444,-108,16730,-25,-5,-10
FF-0F-11-00,1118207,372,-216,16724,-25,-5,-10
FF-0F-12-00,1183743,372,-100,16750,-25,-3,-10
FF-0F-13-00,1249279,324,-130,16764,-25,-3,-10
FF-0F-14-00,1314815,414,-156,16726,-25,-3,-10
FF-0F-15-00,1380351,368,-132,16744,-24,-4,-9
FF-0F-16-00,1445887,342,-104,16680,-24,-4,-9
FF-0F-17-00,1511423,392,-204,16698,-25,-5,-9
FF-0F-18-00,1576959,326,-92,16674,-25,-5,-9
FF-0F-19-00,1642495,376,-188,16748,-25,-4,-9
FF-0F-1A-00,1708031,382,-128,16726,-25,-4,-9
FF-0F-1B-00,1773567,348,-142,16740,-24,-4,-10
FF-0F-1C-00,1839103,382,-132,16792,-24,-4,-10
FF-0F-1D-00,1904639,378,-172,16706,-24,-5,-11
FF-0F-1E-00,1970175,294,-102,16694,-24,-5,-11
FF-0F-1F-00,2035711,380,-204,16738,-25,-4,-9
FF-0F-20-00,2101247,354,-138,16690,-25,-4,-9
FF-0F-21-00,2166783,358,-148,16734,-24,-3,-8
FF-0F-22-00,2232319,384,-162,16734,-24,-3,-8
FF-0F-23-00,2297855,384,-154,16680,-24,-4,-9
FF-0F-24-00,2363391,340,-152,16704,-24,-4,-9
FF-0F-25-00,2428927,430,-178,16744,-25,-5,-10
FF-0F-26-00,2494463,348,-130,16722,-25,-5,-10
FF-0F-27-00,2559999,366,-156,16704,-24,-4,-10
FF-0F-28-00,2625535,370,-126,16776,-24,-4,-10
FF-0F-29-00,2691071,318,-154,16692,-24,-4,-10
FF-0F-2A-00,2756607,384,-136,16758,-24,-4,-10
FF-0F-2B-00,2822143,360,-156,16714,-24,-3,-10
FF-0F-2C-00,2887679,378,-136,16738,-24,-3,-10
FF-0F-2D-00,2953215,408,-162,16768,-24,-5,-11
FF-0F-2E-00,3018751,368,-132,16678,-24,-5,-11
FF-0F-2F-00,3084287,352,-106,16750,-24,-5,-10
FF-0F-30-00,3149823,408,-184,16738,-24,-5,-10
FF-0F-31-00,3215359,376,-122,16680,-25,-4,-10
